title,originalUrl,naverUrl,description,pubDate,category,content,contentLength,isQualityContent,fullText,textLength,index,cluster,method
"전남교육청, 한·일·중 어린이 동화교류대회 주관으로 참가... 글로벌 ...",https://www.startuptoday.co.kr/news/articleView.html?idxno=489239,https://www.startuptoday.co.kr/news/articleView.html?idxno=489239,"정체성을 자각하고 세계 시민으로 성장하는 소중한 기회가 될 것""이라며, ""앞으로도 다양한 국제교류 프로그램을 통해 학생들의 글로벌 감수성과 협업 능력을 키우는 데 힘쓰겠다""고 밝혔다. 오늘경제 김상렬 기자","Tue, 05 Aug 2025 10:16:00 +0900",economy,광주전남본부 김상렬 기자 다른기사 보기 + 입력 2025.08.05 10:15 0 / 400 0 / 400 0 / 400 0 / 400 작성자 비밀번호 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 1 2 3 4 5 6 7 8 9 10 매체소개 광고문의 이용약관 개인정보처리방침 청소년보호정책 저작권보호정책 이메일무단수집거부 RSS,207,False,"전남교육청, 한·일·중 어린이 동화교류대회 주관으로 참가... 글로벌 .... 광주전남본부 김상렬 기자 다른기사 보기 + 입력 2025.08.05 10:15 0 / 400 0 / 400 0 / 400 0 / 400 작성자 비밀번호 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 1 2 3 4 5 6 7 8 9 10 매체소개 광고문의 이용약관 개인정보처리방침 청소년보호정책 저작권보호정책 이메일무단수집거부 RSS",251,0,0,DBSCAN
"롯데이노베이트, IFEZ 스마트시티 기반 서비스 1단계 사업 성료",https://www.datanet.co.kr/news/articleView.html?idxno=204207,https://www.datanet.co.kr/news/articleView.html?idxno=204207,롯데이노베이트가 인천경제자유구역청의 스마트시티 기반서비스 1단계 구축사업을 완료했다. 해당 사업은... 인천경제자유구역(IFEZ) 내 스타트업을 위한 서비스도 제공한다. 한편 롯데이노베이트는 인천광역시...,"Tue, 05 Aug 2025 10:16:00 +0900",economy,"데이터넷] 롯데이노베이트가 인천경제자유구역청의 스마트시티 기반서비스 1단계 구축사업을 완료했다. 해당 사업은 송도국제도시, 청라국제도시 등에 시민안전, 시민편의, 모빌리티, 기업육성 관련 스마트시티 서비스를 구축하는 것으로, 롯데이노베이트는 컨소시엄을 구성해 2023년 12월 해당 사업에 착수했다. 롯데이노베이트 컨소시엄은 ▲객체인식 영상관제 ▲스마트폴 ▲AI 실종자 검색 시스템 ▲스마트 교차로 ▲긴급차량 우선 신호 ▲대형 차량 통행관리 ▲사물인터넷(IoT) 플랫폼 고도화 및 통합관리 등 총 16개의 서비스를 구축했다. 시민들이 일상에서 쉽게 체감할 수 있는 서비스로는 대중교통 이용객을 위한 스마트쉘터와 지능형 객체 검지 서비스 등을 통한 실종자 검색 등이 있다. 또한 내비게이션을 통한 실시간 교통정보 제공, 위급차량 출동 시간 단축 등 안전하고 편리한 모빌리티 서비스와 인천경제자유구역(IFEZ) 내 스타트업을 위한 서비스도 제공한다. 한편 롯데이노베이트는 인천광역시 지능형교통체계 사업, 서울특별시 ITS 2.0 사업, 안양시 ITS 확대 구축 사업 등 다양한 지자체의 모빌리티 환경 구축을 성공적으로 마쳤으며 20여 년간 스마트시티 전문 기업으로서의 입지를 다져가고 있다. 강석오 기자 다른기사 보기 내용 0 / 400 계정을 선택하시면 로그인·계정인증을 통해 댓글을 남기실 수 있습니다. 회원 로그인 이름 비밀번호 자동등록방지 앤앤에스피 ’앤넷CDS가드 V2.0’, 국방부 공급 쿼리파이, 일본 HR SaaS 기업과 AI 보안 협력 체계 구축 피앤피시큐어, 태국 IT기업과 파트너십 체결 와이즈넛, 방송통신기자재 적합성 평가 과제 주관 ··· 생성형 AI 모델 개발 수세, ‘멀티클라우드 컨테이너 플랫폼’ 주도 쿼드마이너 박범중 대표 “AX 시대 맞춤형 솔루션으로 글로벌 영향력 높인다” 1 케이앤에스아이앤씨, ICT 기금 넥스트 어워즈 ‘과기부 장관 표창’ 수상",940,True,"롯데이노베이트, IFEZ 스마트시티 기반 서비스 1단계 사업 성료. 데이터넷] 롯데이노베이트가 인천경제자유구역청의 스마트시티 기반서비스 1단계 구축사업을 완료했다. 해당 사업은 송도국제도시, 청라국제도시 등에 시민안전, 시민편의, 모빌리티, 기업육성 관련 스마트시티 서비스를 구축하는 것으로, 롯데이노베이트는 컨소시엄을 구성해 2023년 12월 해당 사업에 착수했다. 롯데이노베이트 컨소시엄은 ▲객체인식 영상관제 ▲스마트폴 ▲AI 실종자 검색 시스템 ▲스마트 교차로 ▲긴급차량 우선 신호 ▲대형 차량 통행관리 ▲사물인터넷(IoT) 플랫폼 고도화 및 통합관리 등 총 16개의 서비스를 구축했다. 시민들이 일상에서 쉽게 체감할 수 있는 서비스로는 대중교통 이용객을 위한 스마트쉘터와 지능형 객체 검지 서비스 등을 통한 실종자 검색 등이 있다. 또한 내비게이션을 통한 실시간 교통정보 제공, 위급차량 출동 시간 단축 등 안전하고 편리한 모빌리티 서비스와 인천경제자유구역(IFEZ) 내 스타트업을 위한 서비스도 제공한다. 한편 롯데이노베이트는 인천광역시 지능형교통체계 사업, 서울특별시 ITS 2.0 사업, 안양시 ITS 확대 구축 사업 등 다양한 지자체의 모빌리티 환경 구축을 성공적으로 마쳤으며 20여 년간 스마트시티 전문 기업으로서의 입지를 다져가고 있다. 강석오 기자 다른기사 보기 내용 0 / 400 계정을 선택하시면 로그인·계정인증을 통해 댓글을 남기실 수 있습니다. 회원 로그인 이름 비밀번호 자동등록방지 앤앤에스피 ’앤넷CDS가드 V2.0’, 국방부 공급 쿼리파이, 일본 HR SaaS 기업과 AI 보안 협력 체계 구축 피앤피시큐어, 태국 IT기업과 파트너십 체결 와이즈넛, 방송통신기자재 적합성 평가 과제 주관 ··· 생성형 AI 모델 개발 수세, ‘멀티클라우드 컨테이너 플랫폼’ 주도 쿼드마이너 박범중 대표 “AX 시대 맞춤형 솔루션으로 글로벌 영향력 높인다” 1 케이앤에스아이앤씨, ICT 기금 넥스트 어워즈 ‘과기부 장관 표창’ 수상",978,1,0,DBSCAN
코빗 리서치센터 '스테이블코인의 구조적 분화' 발간,http://www.finomy.com/news/articleView.html?idxno=235596,http://www.finomy.com/news/articleView.html?idxno=235596,"온체인 경제에서의 기능적 분업'을 발간했다고 5일 밝혔다. 이번 보고서는 스테이블코인이 온체인 경제 구조 속에서 어떤 기능을 하고 있는지를 살펴보고, 그 과정에서 블록체인별 경제 구조가 어떻게 분화되고 있는지를...","Tue, 05 Aug 2025 10:16:00 +0900",economy,"증권 오상엽 기자 다른기사 보기 + 입력 2025.08.05 10:15 0 / 400 0 / 400 0 / 400 0 / 400 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 1 2 3 4 5 6 7 1 2 3 4 5 기자수첩 [기자수첩] 삼성화재 애니카 조사원, 산재법 제외될 이유 있나 기자수첩 [기자수첩] 플립보다 잘 팔리는 폴드, 왜 기자수첩 [기자수첩] 극장, ‘함께 볼 이유’가 있는 콘텐츠만 남는다 포토뉴스 포토뉴스 포토뉴스 포토뉴스 포토뉴스 매체소개 광고문의 이용약관 개인정보처리방침 청소년보호정책 저작권보호정책 이메일무단수집거부 RSS",330,False,"코빗 리서치센터 '스테이블코인의 구조적 분화' 발간. 증권 오상엽 기자 다른기사 보기 + 입력 2025.08.05 10:15 0 / 400 0 / 400 0 / 400 0 / 400 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 1 2 3 4 5 6 7 1 2 3 4 5 기자수첩 [기자수첩] 삼성화재 애니카 조사원, 산재법 제외될 이유 있나 기자수첩 [기자수첩] 플립보다 잘 팔리는 폴드, 왜 기자수첩 [기자수첩] 극장, ‘함께 볼 이유’가 있는 콘텐츠만 남는다 포토뉴스 포토뉴스 포토뉴스 포토뉴스 포토뉴스 매체소개 광고문의 이용약관 개인정보처리방침 청소년보호정책 저작권보호정책 이메일무단수집거부 RSS",360,2,0,DBSCAN
"인간·동물·환경을 하나로…질병청, APEC ‘원 헬스’ 협력 논의",https://n.news.naver.com/mnews/article/366/0001098005?sid=105,https://n.news.naver.com/mnews/article/366/0001098005?sid=105,"질병관리청은 아시아태평양경제협력체(APEC) 회원 경제와 ‘원 헬스 협력’을 논의한다고 5일 밝혔다. 원 헬스는 인간, 동물, 환경 건강을 하나로 보고 대응하는 것이다. 신종 감염병 위험이 커지며 주목받고 있다. 이는...","Tue, 05 Aug 2025 10:15:00 +0900",economy,"질병관리청 전경./질병관리청 질병관리청은 아시아태평양경제협력체(APEC) 회원 경제와 ‘원 헬스 협력’을 논의한다고 5일 밝혔다. 원 헬스는 인간, 동물, 환경 건강을 하나로 보고 대응하는 것이다. 신종 감염병 위험이 커지며 주목받고 있다.이는 ‘APEC 제2차 보건실무그룹 회의’ 첫날 행사다. 유한상 서울대 교수가 기조 강연을 하고 조정, 협력과 소통, 역량 강화를 주제로 세션 3개를 진행한다. 질병관리청, 대만 질병통제예방센터, 호주 보건·장애·노인복지부, 싱가포르 보건부, 태국 질병관리국에서 참여한다.임승관 질병관리청장은 “코로나19 팬데믹(감염병 대유행) 이후 보건 위협이 복잡해지고 있다”면서 “대응하기 위해서는 원 헬스가 중요하다”고 했다. 그러면서 “APEC 회원 경제의 협력을 기대한다”고 했다.",400,False,"인간·동물·환경을 하나로…질병청, APEC ‘원 헬스’ 협력 논의. 질병관리청 전경./질병관리청 질병관리청은 아시아태평양경제협력체(APEC) 회원 경제와 ‘원 헬스 협력’을 논의한다고 5일 밝혔다. 원 헬스는 인간, 동물, 환경 건강을 하나로 보고 대응하는 것이다. 신종 감염병 위험이 커지며 주목받고 있다.이는 ‘APEC 제2차 보건실무그룹 회의’ 첫날 행사다. 유한상 서울대 교수가 기조 강연을 하고 조정, 협력과 소통, 역량 강화를 주제로 세션 3개를 진행한다. 질병관리청, 대만 질병통제예방센터, 호주 보건·장애·노인복지부, 싱가포르 보건부, 태국 질병관리국에서 참여한다.임승관 질병관리청장은 “코로나19 팬데믹(감염병 대유행) 이후 보건 위협이 복잡해지고 있다”면서 “대응하기 위해서는 원 헬스가 중요하다”고 했다. 그러면서 “APEC 회원 경제의 협력을 기대한다”고 했다.",438,3,-1,DBSCAN
"천안시, 저소득층 '기존주택 전세임대' 경쟁률 12대 1",https://n.news.naver.com/mnews/article/079/0004052578?sid=102,https://n.news.naver.com/mnews/article/079/0004052578?sid=102,"경영미 복지정책과장은 ""경제적 어려움, 전세사기 피해에 대한 우려가 커지면서, 임대 조건이 투명하고 안정적인 주택에 대한 선호도가 높아지고 있다""며 ""주거 취약계층을 위한 저렴하고 안전한 주거확보에 최선을...","Tue, 05 Aug 2025 10:15:00 +0900",economy,"천안시 제공충남 천안시는 저소득층을 대상으로 한 기존주택 전세임대 사업이 호응을 얻고 있다고 5일 밝혔다. 천안시에 따르면 저소득층의 주거안정 지원을 위해 기존주택 전세임대 입주자를 모집한 결과 67가구 모집에 810가구가 신청하며 평균 12대 1의 높은 경쟁률을 보였다. 기존주택 전세임대는 입주대상자로 선정된 자가 지원 한도액(7천만 원) 범위 내에서 원하는 주택을 물색하면, 한국토지주택공사(LH)가 해당 주택 소유자와 전세 계약을 체결한 후 이를 입주 대상자에게 재임대하는 제도이다. 신청 대상은 천안시에 거주하는 무주택세대 구성원 중 기초생활수급자(생계·의료급여수급자), 보호대상 한부모가족 등이다. LH 지역본부는 지원자에 대한 소득, 자산 조사 등을 거쳐 합격자를 개별 통보할 예정이다. 경영미 복지정책과장은 ""경제적 어려움, 전세사기 피해에 대한 우려가 커지면서, 임대 조건이 투명하고 안정적인 주택에 대한 선호도가 높아지고 있다""며 ""주거 취약계층을 위한 저렴하고 안전한 주거확보에 최선을 다하겠다""고 말했다. 한편, 충남 8개 시군 기존주택 전세임대 145가구 중 천안시에 67가구가 배정됐다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",696,True,"천안시, 저소득층 '기존주택 전세임대' 경쟁률 12대 1. 천안시 제공충남 천안시는 저소득층을 대상으로 한 기존주택 전세임대 사업이 호응을 얻고 있다고 5일 밝혔다. 천안시에 따르면 저소득층의 주거안정 지원을 위해 기존주택 전세임대 입주자를 모집한 결과 67가구 모집에 810가구가 신청하며 평균 12대 1의 높은 경쟁률을 보였다. 기존주택 전세임대는 입주대상자로 선정된 자가 지원 한도액(7천만 원) 범위 내에서 원하는 주택을 물색하면, 한국토지주택공사(LH)가 해당 주택 소유자와 전세 계약을 체결한 후 이를 입주 대상자에게 재임대하는 제도이다. 신청 대상은 천안시에 거주하는 무주택세대 구성원 중 기초생활수급자(생계·의료급여수급자), 보호대상 한부모가족 등이다. LH 지역본부는 지원자에 대한 소득, 자산 조사 등을 거쳐 합격자를 개별 통보할 예정이다. 경영미 복지정책과장은 ""경제적 어려움, 전세사기 피해에 대한 우려가 커지면서, 임대 조건이 투명하고 안정적인 주택에 대한 선호도가 높아지고 있다""며 ""주거 취약계층을 위한 저렴하고 안전한 주거확보에 최선을 다하겠다""고 말했다. 한편, 충남 8개 시군 기존주택 전세임대 145가구 중 천안시에 67가구가 배정됐다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",729,4,0,DBSCAN
"허성무 의원,  'K- 스틸법' 여야가 힘 모아 통과시켜야",http://www.knpnews.com/news/articleView.html?idxno=32635,http://www.knpnews.com/news/articleView.html?idxno=32635,"노조는 ""철강산업은 저가 수입재 범람, 탄소중립 규제 등으로 위기에 처해 있으며, 지역 경제와 고용 위축이 이미 현실이 되고 있다""며, ""노사정 대화를 통해 경쟁력 강화와 녹색전환을 함께 추진할 것"" 이라고 밝혔다. 허...","Tue, 05 Aug 2025 10:14:00 +0900",economy,기자명 이석우 기자 입력 2025.08.05 10:14 0 / 400 0 / 400 0 / 400 작성자 비밀번호 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 정치 기업&기술 경제 ESG 경제 1 2 3 4 5 6 7 8 매체소개 광고문의 이용약관 개인정보처리방침 청소년보호정책 저작권보호정책 인터넷신문윤리강령 이메일무단수집거부,206,False,"허성무 의원,  'K- 스틸법' 여야가 힘 모아 통과시켜야. 기자명 이석우 기자 입력 2025.08.05 10:14 0 / 400 0 / 400 0 / 400 작성자 비밀번호 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 정치 기업&기술 경제 ESG 경제 1 2 3 4 5 6 7 8 매체소개 광고문의 이용약관 개인정보처리방침 청소년보호정책 저작권보호정책 인터넷신문윤리강령 이메일무단수집거부",240,5,0,DBSCAN
"미래에셋생명, 물가상승 대비 '헤리티지 변액정기보험' 출시",https://www.businessplus.kr/news/articleView.html?idxno=93791,https://www.businessplus.kr/news/articleView.html?idxno=93791,"실질적인 보장가치를 추구할 수 있는 새로운 대안이 될 것""이라며 ""앞으로도 변액보험의 상품 다양화와 고객 선택권 확대를 위해 지속적으로 상품을 개발할 계획""이라고 말했다. / 경제를 읽는 맑은 창 - 비즈니스플러스","Tue, 05 Aug 2025 10:14:00 +0900",economy,"기자명 최연성 기자 승인 2025.08.05 10:13 0 / 400 0 / 400 회원 로그인 이름 비밀번호 자동등록방지 사진=미래에셋생명 미래에셋생명은 체증형 보장 구조를 적용해 물가 상승으로 인한 보장 가치 하락을 보완하는 변액정기보험 신상품 '헤리티지 변액정기보험 무배당'을 출시했다고 5일 밝혔다. 이 상품은 투자 성과에 따라 보험금이 변동되는 구조로 금리확정형 정기보험 대비 더 높은 보장금액을 기대할 수 있다. 5년 이상 계약을 유지한 고객에게는 장기납입보너스를 제공해 장기 유지 고객에 대한 혜택을 강화했다. 납입기간은 15년, 20년, 25년 또는 전기납 중에서 선택 가능하며 가입 형태는 일반가입형, 간편고지형 총 2가지다. 기본 보험기간은 90세 만기로, 기본보험기간 만기시점에 특정 조건을 만족할 경우 플러스보험기간이 적용돼 보험기간이 100세까지 연장된다. 헤리티지 변액정기보험은 미래에셋생명의 대표 펀드 시리즈인 '글로벌 MVP 펀드' 중심으로 운용된다. 고객은 '글로벌 MVP 펀드' 시리즈를 포함한 총 16종의 투입펀드를 선택할 수 있다. 국내주식군, 해외주식군, 대안투자군 유형의 펀드를 선택할 경우 '글로벌 MVP 30'과 'ETF 글로벌 MVP 30' 펀드가 최소 50%포인트 이상 편입된다. 오상훈 미래에셋생명 상품개발본부장은 ""헤리티지 변액정기보험은 변액보험의 장점인 투자수익과 보장 기능을 결합한 상품으로 물가상승 부담 속에서 실질적인 보장가치를 추구할 수 있는 새로운 대안이 될 것""이라며 ""앞으로도 변액보험의 상품 다양화와 고객 선택권 확대를 위해 지속적으로 상품을 개발할 계획""이라고 말했다. 최연성 기자 / 경제를 읽는 맑은 창 - 비즈니스플러스 최연성 기자 cys@businessplus.kr 다른기사 보기 0 / 400 0 / 400 회원 로그인 이름 비밀번호 자동등록방지 1 2 3 4 5",918,True,"미래에셋생명, 물가상승 대비 '헤리티지 변액정기보험' 출시. 기자명 최연성 기자 승인 2025.08.05 10:13 0 / 400 0 / 400 회원 로그인 이름 비밀번호 자동등록방지 사진=미래에셋생명 미래에셋생명은 체증형 보장 구조를 적용해 물가 상승으로 인한 보장 가치 하락을 보완하는 변액정기보험 신상품 '헤리티지 변액정기보험 무배당'을 출시했다고 5일 밝혔다. 이 상품은 투자 성과에 따라 보험금이 변동되는 구조로 금리확정형 정기보험 대비 더 높은 보장금액을 기대할 수 있다. 5년 이상 계약을 유지한 고객에게는 장기납입보너스를 제공해 장기 유지 고객에 대한 혜택을 강화했다. 납입기간은 15년, 20년, 25년 또는 전기납 중에서 선택 가능하며 가입 형태는 일반가입형, 간편고지형 총 2가지다. 기본 보험기간은 90세 만기로, 기본보험기간 만기시점에 특정 조건을 만족할 경우 플러스보험기간이 적용돼 보험기간이 100세까지 연장된다. 헤리티지 변액정기보험은 미래에셋생명의 대표 펀드 시리즈인 '글로벌 MVP 펀드' 중심으로 운용된다. 고객은 '글로벌 MVP 펀드' 시리즈를 포함한 총 16종의 투입펀드를 선택할 수 있다. 국내주식군, 해외주식군, 대안투자군 유형의 펀드를 선택할 경우 '글로벌 MVP 30'과 'ETF 글로벌 MVP 30' 펀드가 최소 50%포인트 이상 편입된다. 오상훈 미래에셋생명 상품개발본부장은 ""헤리티지 변액정기보험은 변액보험의 장점인 투자수익과 보장 기능을 결합한 상품으로 물가상승 부담 속에서 실질적인 보장가치를 추구할 수 있는 새로운 대안이 될 것""이라며 ""앞으로도 변액보험의 상품 다양화와 고객 선택권 확대를 위해 지속적으로 상품을 개발할 계획""이라고 말했다. 최연성 기자 / 경제를 읽는 맑은 창 - 비즈니스플러스 최연성 기자 cys@businessplus.kr 다른기사 보기 0 / 400 0 / 400 회원 로그인 이름 비밀번호 자동등록방지 1 2 3 4 5",952,6,0,DBSCAN
[ICT 시사용어]HVAC,https://n.news.naver.com/mnews/article/030/0003338028?sid=105,https://n.news.naver.com/mnews/article/030/0003338028?sid=105,여기에 전기요금 상승이 초기 비용이 높더라도 장기 운영비를 줄일 수 있는 고효율 제품의 경제성을 부각시키고 있다. 해외도 환경 규제 강화와 에너지 비용 급등으로 고효율 HVAC가 필수재로 자리잡는 추세다....,"Tue, 05 Aug 2025 10:14:00 +0900",economy,"LG전자 관계자가 ISH 2025에서 히트펌프 '써마브이 R290 모노블럭'을 소개하는 모습.HVAC는 난방(Heating), 환기(Ventilation), 공기조화(Air Conditioning)의 앞 글자를 딴 용어로, 세 기능을 개별적으로 운영하거나 통합 시스템으로 구현해 실내 환경을 최적화한다. 소비자용(B2C)과 산업용(B2B)으로 나뉜다.HVAC는 일상은 물론 산업 현장에서도 핵심적이다. 반도체 공장은 청정 공기 유지가 필수이며, 제약·식품 공장도 제품의 안전성과 품질을 위해 HVAC가 중요한 역할을 한다.HVAC는 국내외를 막론하고 미래 유망 산업으로 주목받고 있다. 핵심 배경에는 '탄소중립'과 '에너지 비용'이라는 과제가 있다.국내에선 올해부터 정부가 '제로에너지건축물(ZEB)' 인증을 민간 부문으로 확대하며, 에너지 소비 비중이 큰 HVAC의 고효율화가 법적 의무로 자리 잡고 있다. 여기에 전기요금 상승이 초기 비용이 높더라도 장기 운영비를 줄일 수 있는 고효율 제품의 경제성을 부각시키고 있다.해외도 환경 규제 강화와 에너지 비용 급등으로 고효율 HVAC가 필수재로 자리잡는 추세다. 특히 급증하는 인공지능(AI) 데이터센터는 HVAC 산업의 핵심 무대로 떠오르고 있다. AI는 막대한 연산 과정에서 기존보다 훨씬 많은 열을 발생시키며, 서버 발열을 제때 제어하지 못하면 기능 장애와 천문학적 손실로 이어질 수 있다.시장조사기관 마켓앤마켓이 발표한 '데이터센터 냉각 시장' 보고서에 따르면, 글로벌 시장 규모는 2023년 127억달러(약 17조5679억원)에서 연평균 12.8% 성장해 2030년 296억달러(약 40조9456억원)까지 두 배 이상 확대될 전망이다.",836,True,"[ICT 시사용어]HVAC. LG전자 관계자가 ISH 2025에서 히트펌프 '써마브이 R290 모노블럭'을 소개하는 모습.HVAC는 난방(Heating), 환기(Ventilation), 공기조화(Air Conditioning)의 앞 글자를 딴 용어로, 세 기능을 개별적으로 운영하거나 통합 시스템으로 구현해 실내 환경을 최적화한다. 소비자용(B2C)과 산업용(B2B)으로 나뉜다.HVAC는 일상은 물론 산업 현장에서도 핵심적이다. 반도체 공장은 청정 공기 유지가 필수이며, 제약·식품 공장도 제품의 안전성과 품질을 위해 HVAC가 중요한 역할을 한다.HVAC는 국내외를 막론하고 미래 유망 산업으로 주목받고 있다. 핵심 배경에는 '탄소중립'과 '에너지 비용'이라는 과제가 있다.국내에선 올해부터 정부가 '제로에너지건축물(ZEB)' 인증을 민간 부문으로 확대하며, 에너지 소비 비중이 큰 HVAC의 고효율화가 법적 의무로 자리 잡고 있다. 여기에 전기요금 상승이 초기 비용이 높더라도 장기 운영비를 줄일 수 있는 고효율 제품의 경제성을 부각시키고 있다.해외도 환경 규제 강화와 에너지 비용 급등으로 고효율 HVAC가 필수재로 자리잡는 추세다. 특히 급증하는 인공지능(AI) 데이터센터는 HVAC 산업의 핵심 무대로 떠오르고 있다. AI는 막대한 연산 과정에서 기존보다 훨씬 많은 열을 발생시키며, 서버 발열을 제때 제어하지 못하면 기능 장애와 천문학적 손실로 이어질 수 있다.시장조사기관 마켓앤마켓이 발표한 '데이터센터 냉각 시장' 보고서에 따르면, 글로벌 시장 규모는 2023년 127억달러(약 17조5679억원)에서 연평균 12.8% 성장해 2030년 296억달러(약 40조9456억원)까지 두 배 이상 확대될 전망이다.",852,7,-1,DBSCAN
비판적 시각과 단단한 자존감 [박미주 교수 칼럼],https://www.mediafine.co.kr/news/articleView.html?idxno=70868,https://www.mediafine.co.kr/news/articleView.html?idxno=70868,"서울 경제 100인의 CEO 선정 김포대학교 특임교수(태권도융합과) 파주민보, 미디어파인 칼럼리스트 外 [학력사항] 서강대학교 경영학사 중앙대학교 창업 대학원 기후경제학 석사 [저서] 공감세상ㆍ생각으로 피어나다...","Tue, 05 Aug 2025 10:14:00 +0900",economy,"SNS 기사보내기 비판적 시각과 단단한 자존감 [박미주 교수 칼럼] [미디어파인=박미주 교수의 세상사는 이야기] SNS는 빠른 정보를 전달하고 많은 사람들과의 소통장소이지만, 동시에 뒤에 익명으로 숨어서 무책임한 말들이 난무하는 무서운 공간이기도 하다. 그와 관련해 많은 정보통신 처벌법들이 생겨나고 처벌을 받은 사례들이 무수하게 공개되고 있지만 아직도 우리 사회의 도덕불감증은 줄어들기는커녕 오히려 늘고 있는 것 같다. 다양한 SNS 계정을 통해 감추어진 얼굴이 무기라도 되는 양 대상자를 정해 아무렇지 않게 신체에 해당하는 인신공격부터 없는 말까지 만들어 내어 서슴없는 행위들을 해댄다. 미담 이슈들에 달린 0 / 400 0 / 400 0 / 400 작성자 비밀번호 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 1 2 3 4 5",432,False,"비판적 시각과 단단한 자존감 [박미주 교수 칼럼]. SNS 기사보내기 비판적 시각과 단단한 자존감 [박미주 교수 칼럼] [미디어파인=박미주 교수의 세상사는 이야기] SNS는 빠른 정보를 전달하고 많은 사람들과의 소통장소이지만, 동시에 뒤에 익명으로 숨어서 무책임한 말들이 난무하는 무서운 공간이기도 하다. 그와 관련해 많은 정보통신 처벌법들이 생겨나고 처벌을 받은 사례들이 무수하게 공개되고 있지만 아직도 우리 사회의 도덕불감증은 줄어들기는커녕 오히려 늘고 있는 것 같다. 다양한 SNS 계정을 통해 감추어진 얼굴이 무기라도 되는 양 대상자를 정해 아무렇지 않게 신체에 해당하는 인신공격부터 없는 말까지 만들어 내어 서슴없는 행위들을 해댄다. 미담 이슈들에 달린 0 / 400 0 / 400 0 / 400 작성자 비밀번호 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 1 2 3 4 5",461,8,-1,DBSCAN
"고려대-현대차 정몽구 재단, 'CMK 아세안 스쿨 3기 현지 탐방'",http://www.veritas-a.com/news/articleView.html?idxno=566147,http://www.veritas-a.com/news/articleView.html?idxno=566147,"제3기에는 국내 대학생 15명이 선발돼 프로그램에 참여하고 있으며, 각국의 정치/경제/사회/문화에 대한 이해를 높이는 동시에, 현지 대학생들과 팀을 이뤄 사회 현안에 대한 공동 연구 프로젝트를 진행하고 있다....","Tue, 05 Aug 2025 10:14:00 +0900",economy,기자명 김하연 기자 입력 2025.08.05 10:13 0 / 400 0 / 400 0 / 400 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 중요뉴스 구독자뉴스 단독기사 알고보자 더보기 더보기 더보기 더보기 구독자 대입 고입 대학별고사 대입 대입뉴스 수시 정시 대입잣대 수능/모의고사 고입 고입뉴스 고입잣대 대입실적 교육 교육뉴스 알고보자 입시용어따라잡기 교육정책 인사/동정 건강 오피니언 칼럼 기자방담 온라인폴 지난 연재 도서 새책 유·초등신간 중·고등신간 성인신간 취업 취업뉴스 문화 문화생활 알림 슬기로운 구독자 생활 이벤트 (2025서울대 합격실적) 게시판 소개,342,False,"고려대-현대차 정몽구 재단, 'CMK 아세안 스쿨 3기 현지 탐방'. 기자명 김하연 기자 입력 2025.08.05 10:13 0 / 400 0 / 400 0 / 400 댓글 정렬 BEST 댓글 답글과 추천수를 합산하여 자동으로 노출됩니다. 내 댓글 모음 중요뉴스 구독자뉴스 단독기사 알고보자 더보기 더보기 더보기 더보기 구독자 대입 고입 대학별고사 대입 대입뉴스 수시 정시 대입잣대 수능/모의고사 고입 고입뉴스 고입잣대 대입실적 교육 교육뉴스 알고보자 입시용어따라잡기 교육정책 인사/동정 건강 오피니언 칼럼 기자방담 온라인폴 지난 연재 도서 새책 유·초등신간 중·고등신간 성인신간 취업 취업뉴스 문화 문화생활 알림 슬기로운 구독자 생활 이벤트 (2025서울대 합격실적) 게시판 소개",381,9,0,DBSCAN
